@relation finishedData-weka.filters.unsupervised.attribute.NumericToNominal-R10-weka.filters.unsupervised.attribute.NumericToNominal-R1-2-weka.filters.unsupervised.attribute.NumericToBinary-R14-weka.filters.unsupervised.attribute.NumericToNominal-R12-weka.filters.unsupervised.attribute.NumericToNominal-R15-weka.filters.unsupervised.attribute.NumericToNominal-R5

@attribute Year {2010,2011,2012,2013,2014,2015,2016,2017,2018}
@attribute Month {3,6,9,12}
@attribute City {Wellington,Auckland,Otago}
@attribute 'Region Average.Rent' numeric
@attribute Number.of.Bonds {1837,2002,2036,2062,2075,2095,2159,2215,2254,2300,2337,2381,2382,2412,2414,2417,2465,2562,2569,2680,2751,2827,2839,2858,2876,2921,3030,3126,3204,3301,3432,3489,3985,4074,4087,4102,4190,4283,4324,4340,4429,4514,4672,4770,4803,4882,5005,5016,5019,5107,5121,5309,5359,5455,5673,5902,6151,6456,6552,6627,6719,6846,6868,6893,7280,11341,12176,12244,12456,13092,13132,13252,13898,14105,14181,14211,14316,14358,14658,14724,14837,14875,14881,14892,14999,15249,15307,15449,15491,15538,15543,15547,15697,16329,16508,16608,18322,18489}
@attribute Number.of.Students..Bachelors.only. {'15,800','26,580','16,420','26,630','15,645','16,240','26,835','15,400','16,165','15,335','26,905','16,060','15,145','26,800','16,150','15,260','26,640','15,700','15,380','25,935','15,830','15,510','25,800','15,715','15,434','16,035','16,305'}
@attribute Student..Allowance.average {$170.68,$173.41,$175.38,$173.29,$175.88,$173.82,$178.94,$183.06,$230.12}
@attribute Student.Accomodation..Benefit.Average {$35.03,35.47,35.91,35.18,35.71,38.06,39.35,60}
@attribute Property_Type {House,'Room or Boarding House','Flat or Apartment',Hostel}
@attribute Number.of.Bedrooms {1,2,3,4,5}
@attribute Property.Average.Rent numeric
@attribute Bonds {5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,52,53,54,56,57,58,59,60,61,62,63,64,66,67,68,69,71,73,75,76,77,78,80,83,84,85,86,87,88,89,90,91,94,95,96,99,100,101,103,106,109,110,111,113,115,116,121,122,123,124,127,129,135,136,137,138,141,142,143,144,146,148,149,152,153,154,157,158,160,161,166,167,168,169,170,171,172,181,184,190,192,195,196,197,203,205,208,209,217,218,225,230,233,234,237,252,255,258,263,271,276,295,301,308,310,314,316,325,326,331,332,334,336,338,342,358,374,376,379,381,390,399,401,402,405,412,436,438,441,445,453,454,461,462,469,483,490,491,498,501,520,524,525,534,536,543,545,562,563,568,578,580,588,608,630,644,648,654,655,678,680,694,704,759,769,777,790,877,917}
@attribute 'Student/Bond Ratio' numeric
@attribute 'Above National Average (City)_binarized' {0,1}
@attribute Class {0,1}

@data
2010,6,Otago,278,2414,'16,420',$170.68,$35.03,'Room or Boarding House',1,148,84,0.034797,0,1
2010,6,Wellington,364,5121,'15,800',$170.68,$35.03,House,3,166,13,0.002539,1,0
2010,6,Wellington,364,5121,'15,800',$170.68,$35.03,'Room or Boarding House',1,192,39,0.007616,1,1
2010,6,Wellington,364,5121,'15,800',$170.68,$35.03,House,4,202,7,0.001367,1,1
2010,6,Otago,278,2414,'16,420',$170.68,$35.03,House,1,215,19,0.007871,0,1
2010,6,Otago,278,2414,'16,420',$170.68,$35.03,'Flat or Apartment',1,225,89,0.036868,0,1
2010,6,Wellington,364,5121,'15,800',$170.68,$35.03,House,2,275,17,0.00332,1,1
2010,6,Wellington,364,5121,'15,800',$170.68,$35.03,House,5,280,5,0.000976,1,0
2010,6,Otago,278,2414,'16,420',$170.68,$35.03,'Flat or Apartment',2,291,62,0.025684,0,1
2010,6,Wellington,364,5121,'15,800',$170.68,$35.03,'Flat or Apartment',1,294,166,0.032416,1,1
2010,6,Otago,278,2414,'16,420',$170.68,$35.03,House,2,296,9,0.003728,0,1
2010,6,Otago,278,2414,'16,420',$170.68,$35.03,'Flat or Apartment',3,310,5,0.002071,0,0
2010,6,Auckland,396,14358,'26,580',$170.68,$35.03,'Flat or Apartment',1,310,654,0.04555,1,1
2010,6,Otago,278,2414,'16,420',$170.68,$35.03,House,3,343,9,0.003728,0,0
2010,6,Auckland,396,14358,'26,580',$170.68,$35.03,House,1,346,11,0.000766,1,0
2010,6,Auckland,396,14358,'26,580',$170.68,$35.03,'Flat or Apartment',2,372,490,0.034127,1,1
2010,6,Otago,278,2414,'16,420',$170.68,$35.03,'Flat or Apartment',4,373,8,0.003314,0,0
2010,6,Auckland,396,14358,'26,580',$170.68,$35.03,House,2,392,12,0.000836,1,0
2010,6,Wellington,364,5121,'15,800',$170.68,$35.03,'Flat or Apartment',2,415,127,0.0248,1,0
2010,6,Wellington,364,5121,'15,800',$170.68,$35.03,'Flat or Apartment',4,422,22,0.004296,1,0
2010,6,Wellington,364,5121,'15,800',$170.68,$35.03,'Flat or Apartment',5,433,23,0.004491,1,0
2010,6,Auckland,396,14358,'26,580',$170.68,$35.03,House,3,443,16,0.001114,1,0
2010,6,Auckland,396,14358,'26,580',$170.68,$35.03,'Flat or Apartment',3,459,31,0.002159,1,0
2010,6,Otago,278,2414,'16,420',$170.68,$35.03,House,4,479,12,0.004971,0,0
2010,6,Otago,278,2414,'16,420',$170.68,$35.03,'Flat or Apartment',5,480,12,0.004971,0,0
2010,6,Wellington,364,5121,'15,800',$170.68,$35.03,'Flat or Apartment',3,492,46,0.008983,1,0
2010,6,Otago,278,2414,'16,420',$170.68,$35.03,House,5,519,9,0.003728,0,0
2010,6,Auckland,396,14358,'26,580',$170.68,$35.03,'Flat or Apartment',4,536,6,0.000418,1,0
2010,6,Auckland,396,14358,'26,580',$170.68,$35.03,'Flat or Apartment',5,597,9,0.000627,1,0
2010,6,Auckland,396,14358,'26,580',$170.68,$35.03,House,5,670,11,0.000766,1,0
2010,6,Auckland,396,14358,'26,580',$170.68,$35.03,House,4,797,24,0.001672,1,0
2010,9,Auckland,396,15491,'26,580',$170.68,$35.03,'Room or Boarding House',1,119,88,0.005681,1,1
2010,9,Wellington,354,5359,'15,800',$170.68,$35.03,'Room or Boarding House',1,127,88,0.016421,1,1
2010,9,Otago,300,2751,'16,420',$170.68,$35.03,'Room or Boarding House',1,206,167,0.060705,0,1
2010,9,Otago,300,2751,'16,420',$170.68,$35.03,'Flat or Apartment',1,214,11,0.003999,0,1
2010,9,Wellington,354,5359,'15,800',$170.68,$35.03,House,1,216,60,0.011196,1,1
2010,9,Wellington,354,5359,'15,800',$170.68,$35.03,House,2,272,19,0.003545,1,1
2010,9,Wellington,354,5359,'15,800',$170.68,$35.03,'Flat or Apartment',1,288,171,0.031909,1,1
2010,9,Otago,300,2751,'16,420',$170.68,$35.03,House,1,294,36,0.013086,0,1
2010,9,Auckland,396,15491,'26,580',$170.68,$35.03,House,1,296,6,0.000387,1,0
2010,9,Otago,300,2751,'16,420',$170.68,$35.03,'Flat or Apartment',2,307,11,0.003999,0,0
2010,9,Wellington,354,5359,'15,800',$170.68,$35.03,House,4,314,11,0.002053,1,0
2010,9,Auckland,396,15491,'26,580',$170.68,$35.03,'Flat or Apartment',1,314,777,0.050158,1,1
2010,9,Wellington,354,5359,'15,800',$170.68,$35.03,House,3,326,14,0.002612,1,0
2010,9,Wellington,354,5359,'15,800',$170.68,$35.03,House,5,331,13,0.002426,1,0
2010,9,Otago,300,2751,'16,420',$170.68,$35.03,House,2,346,10,0.003635,0,0
2010,9,Wellington,354,5359,'15,800',$170.68,$35.03,'Flat or Apartment',3,356,37,0.006904,1,1
2010,9,Otago,300,2751,'16,420',$170.68,$35.03,'Flat or Apartment',3,372,5,0.001818,0,0
2010,9,Auckland,396,15491,'26,580',$170.68,$35.03,'Flat or Apartment',2,381,524,0.033826,1,1
2010,9,Otago,300,2751,'16,420',$170.68,$35.03,House,3,390,10,0.003635,0,0
2010,9,Auckland,396,15491,'26,580',$170.68,$35.03,House,2,393,8,0.000516,1,0
2010,9,Wellington,354,5359,'15,800',$170.68,$35.03,'Flat or Apartment',2,410,225,0.041985,1,0
2010,9,Auckland,396,15491,'26,580',$170.68,$35.03,'Flat or Apartment',4,420,22,0.00142,1,0
2010,9,Otago,300,2751,'16,420',$170.68,$35.03,'Flat or Apartment',4,434,22,0.007997,0,0
2010,9,Auckland,396,15491,'26,580',$170.68,$35.03,House,3,454,18,0.001162,1,0
2010,9,Wellington,354,5359,'15,800',$170.68,$35.03,'Flat or Apartment',5,475,17,0.003172,1,0
2010,9,Otago,300,2751,'16,420',$170.68,$35.03,House,4,476,11,0.003999,0,0
2010,9,Auckland,396,15491,'26,580',$170.68,$35.03,'Flat or Apartment',3,497,44,0.00284,1,0
2010,9,Wellington,354,5359,'15,800',$170.68,$35.03,'Flat or Apartment',4,499,5,0.000933,1,0
2010,9,Auckland,396,15491,'26,580',$170.68,$35.03,House,4,580,15,0.000968,1,0
2010,9,Otago,300,2751,'16,420',$170.68,$35.03,'Flat or Apartment',5,583,46,0.016721,0,0
2010,9,Otago,300,2751,'16,420',$170.68,$35.03,House,5,626,38,0.013813,0,0
2010,9,Auckland,396,15491,'26,580',$170.68,$35.03,House,5,660,6,0.000387,1,0
2010,9,Auckland,396,15491,'26,580',$170.68,$35.03,'Flat or Apartment',5,723,6,0.000387,1,0
2010,12,Wellington,362,5016,'15,800',$170.68,$35.03,House,1,96,5,0.000997,1,1
2010,12,Wellington,362,5016,'15,800',$170.68,$35.03,'Room or Boarding House',1,116,50,0.009968,1,1
2010,12,Wellington,362,5016,'15,800',$170.68,$35.03,House,2,129,9,0.001794,1,1
2010,12,Auckland,400,14181,'26,580',$170.68,$35.03,'Room or Boarding House',1,141,50,0.003526,1,1
2010,12,Otago,309,2562,'16,420',$170.68,$35.03,'Flat or Apartment',1,203,10,0.003903,0,1
2010,12,Otago,309,2562,'16,420',$170.68,$35.03,'Room or Boarding House',1,220,113,0.044106,0,1
2010,12,Otago,309,2562,'16,420',$170.68,$35.03,House,1,221,29,0.011319,0,1
2010,12,Otago,309,2562,'16,420',$170.68,$35.03,'Flat or Apartment',2,262,5,0.001952,0,0
2010,12,Wellington,362,5016,'15,800',$170.68,$35.03,House,5,262,5,0.000997,1,0
2010,12,Otago,309,2562,'16,420',$170.68,$35.03,House,2,270,7,0.002732,0,0
2010,12,Auckland,400,14181,'26,580',$170.68,$35.03,House,1,280,5,0.000353,1,0
2010,12,Wellington,362,5016,'15,800',$170.68,$35.03,'Flat or Apartment',1,291,136,0.027113,1,1
2010,12,Auckland,400,14181,'26,580',$170.68,$35.03,'Flat or Apartment',1,313,680,0.047951,1,1
2010,12,Auckland,400,14181,'26,580',$170.68,$35.03,House,2,325,78,0.0055,1,1
2010,12,Wellington,362,5016,'15,800',$170.68,$35.03,House,3,353,20,0.003987,1,0
2010,12,Otago,309,2562,'16,420',$170.68,$35.03,'Flat or Apartment',3,354,8,0.003123,0,0
2010,12,Wellington,362,5016,'15,800',$170.68,$35.03,House,4,356,19,0.003788,1,0
2010,12,Auckland,400,14181,'26,580',$170.68,$35.03,'Flat or Apartment',2,387,461,0.032508,1,1
2010,12,Otago,309,2562,'16,420',$170.68,$35.03,'Flat or Apartment',4,400,20,0.007806,0,0
2010,12,Otago,309,2562,'16,420',$170.68,$35.03,House,3,402,7,0.002732,0,0
2010,12,Wellington,362,5016,'15,800',$170.68,$35.03,'Flat or Apartment',2,412,168,0.033493,1,0
2010,12,Auckland,400,14181,'26,580',$170.68,$35.03,House,3,417,53,0.003737,1,0
2010,12,Otago,309,2562,'16,420',$170.68,$35.03,House,4,422,14,0.005464,0,0
2010,12,Auckland,400,14181,'26,580',$170.68,$35.03,House,4,438,17,0.001199,1,0
2010,12,Wellington,362,5016,'15,800',$170.68,$35.03,'Flat or Apartment',4,459,23,0.004585,1,0
2010,12,Auckland,400,14181,'26,580',$170.68,$35.03,House,5,492,5,0.000353,1,0
2010,12,Wellington,362,5016,'15,800',$170.68,$35.03,'Flat or Apartment',3,496,41,0.008174,1,0
2010,12,Auckland,400,14181,'26,580',$170.68,$35.03,'Flat or Apartment',4,524,5,0.000353,1,0
2010,12,Otago,309,2562,'16,420',$170.68,$35.03,House,5,558,30,0.01171,0,0
2010,12,Otago,309,2562,'16,420',$170.68,$35.03,'Flat or Apartment',5,587,36,0.014052,0,0
2010,12,Wellington,362,5016,'15,800',$170.68,$35.03,'Flat or Apartment',5,603,19,0.003788,1,0
2010,12,Auckland,400,14181,'26,580',$170.68,$35.03,'Flat or Apartment',5,652,6,0.000423,1,0
2010,12,Auckland,400,14181,'26,580',$170.68,$35.03,'Flat or Apartment',3,661,32,0.002257,1,0
2011,3,Auckland,405,14658,'26,630',$173.41,35.47,'Room or Boarding House',1,130,399,0.027221,1,1
2011,3,Wellington,383,6893,'15,645',$173.41,35.47,'Room or Boarding House',1,186,399,0.057885,1,1
2011,3,Otago,300,3126,'16,240',$173.41,35.47,'Flat or Apartment',1,198,19,0.006078,0,1
2011,3,Otago,300,3126,'16,240',$173.41,35.47,House,1,214,5,0.001599,0,0
2011,3,Wellington,383,6893,'15,645',$173.41,35.47,House,1,215,30,0.004352,1,0
2011,3,Otago,300,3126,'16,240',$173.41,35.47,'Room or Boarding House',1,226,115,0.036788,0,1
2011,3,Otago,300,3126,'16,240',$173.41,35.47,House,2,274,5,0.001599,0,0
2011,3,Otago,300,3126,'16,240',$173.41,35.47,'Flat or Apartment',2,284,13,0.004159,0,0
2011,3,Auckland,405,14658,'26,630',$173.41,35.47,House,1,287,7,0.000478,1,0
2011,3,Wellington,383,6893,'15,645',$173.41,35.47,House,2,298,19,0.002756,1,1
2011,3,Auckland,405,14658,'26,630',$173.41,35.47,'Flat or Apartment',1,313,877,0.059831,1,1
2011,3,Wellington,383,6893,'15,645',$173.41,35.47,'Flat or Apartment',1,315,230,0.033367,1,1
2011,3,Otago,300,3126,'16,240',$173.41,35.47,'Flat or Apartment',3,369,10,0.003199,0,0
2011,3,Otago,300,3126,'16,240',$173.41,35.47,House,3,370,13,0.004159,0,0
2011,3,Wellington,383,6893,'15,645',$173.41,35.47,House,3,370,43,0.006238,1,0
2011,3,Auckland,405,14658,'26,630',$173.41,35.47,'Flat or Apartment',2,386,630,0.04298,1,1
2011,3,Otago,300,3126,'16,240',$173.41,35.47,House,4,407,16,0.005118,0,0
2011,3,Wellington,383,6893,'15,645',$173.41,35.47,'Flat or Apartment',2,432,233,0.033802,1,0
2011,3,Wellington,383,6893,'15,645',$173.41,35.47,House,4,446,19,0.002756,1,0
2011,3,Auckland,405,14658,'26,630',$173.41,35.47,'Flat or Apartment',3,498,52,0.003548,1,0
2011,3,Auckland,405,14658,'26,630',$173.41,35.47,House,3,509,20,0.001364,1,0
2011,3,Wellington,383,6893,'15,645',$173.41,35.47,'Flat or Apartment',5,511,28,0.004062,1,0
2011,3,Auckland,405,14658,'26,630',$173.41,35.47,'Flat or Apartment',5,518,5,0.000341,1,0
2011,3,Otago,300,3126,'16,240',$173.41,35.47,'Flat or Apartment',4,523,13,0.004159,0,0
2011,3,Wellington,383,6893,'15,645',$173.41,35.47,'Flat or Apartment',3,548,106,0.015378,1,0
2011,3,Auckland,405,14658,'26,630',$173.41,35.47,House,4,563,23,0.001569,1,0
2011,3,Auckland,405,14658,'26,630',$173.41,35.47,'Flat or Apartment',4,564,5,0.000341,1,0
2011,3,Otago,300,3126,'16,240',$173.41,35.47,'Flat or Apartment',5,571,25,0.007997,0,0
2011,3,Otago,300,3126,'16,240',$173.41,35.47,House,5,579,32,0.010237,0,0
2011,3,Wellington,383,6893,'15,645',$173.41,35.47,House,5,609,12,0.001741,1,0
2011,3,Auckland,405,14658,'26,630',$173.41,35.47,House,5,646,7,0.000478,1,0
2011,3,Auckland,405,14658,'26,630',$173.41,35.47,House,2,657,14,0.000955,1,0
2011,3,Wellington,383,6893,'15,645',$173.41,35.47,'Flat or Apartment',4,665,67,0.00972,1,0
2011,6,Auckland,416,13252,'26,630',$173.41,35.47,'Room or Boarding House',1,170,40,0.003018,1,1
2011,6,Otago,300,2382,'16,240',$173.41,35.47,'Room or Boarding House',1,173,50,0.020991,0,1
2011,6,Otago,300,2382,'16,240',$173.41,35.47,'Flat or Apartment',1,183,5,0.002099,0,1
2011,6,Wellington,361,5309,'15,645',$173.41,35.47,House,1,186,24,0.004521,1,1
2011,6,Wellington,361,5309,'15,645',$173.41,35.47,'Room or Boarding House',1,192,40,0.007534,1,1
2011,6,Wellington,361,5309,'15,645',$173.41,35.47,House,4,202,7,0.001319,1,1
2011,6,Otago,300,2382,'16,240',$173.41,35.47,House,1,206,18,0.007557,0,1
2011,6,Wellington,361,5309,'15,645',$173.41,35.47,'Flat or Apartment',5,225,9,0.001695,1,0
2011,6,Wellington,361,5309,'15,645',$173.41,35.47,House,5,270,7,0.001319,1,0
2011,6,Otago,300,2382,'16,240',$173.41,35.47,'Flat or Apartment',2,280,41,0.017212,0,1
2011,6,Wellington,361,5309,'15,645',$173.41,35.47,House,2,284,16,0.003014,1,1
2011,6,Wellington,361,5309,'15,645',$173.41,35.47,'Flat or Apartment',1,291,161,0.030326,1,1
2011,6,Otago,300,2382,'16,240',$173.41,35.47,House,2,294,9,0.003778,0,1
2011,6,Auckland,416,13252,'26,630',$173.41,35.47,'Flat or Apartment',1,332,534,0.040296,1,1
2011,6,Otago,300,2382,'16,240',$173.41,35.47,'Flat or Apartment',3,351,5,0.002099,0,0
2011,6,Wellington,361,5309,'15,645',$173.41,35.47,House,3,351,19,0.003579,1,0
2011,6,Auckland,416,13252,'26,630',$173.41,35.47,House,1,354,6,0.000453,1,0
2011,6,Otago,300,2382,'16,240',$173.41,35.47,House,3,354,9,0.003778,0,0
2011,6,Otago,300,2382,'16,240',$173.41,35.47,House,4,373,7,0.002939,0,0
2011,6,Auckland,416,13252,'26,630',$173.41,35.47,House,2,390,6,0.000453,1,0
2011,6,Otago,300,2382,'16,240',$173.41,35.47,'Flat or Apartment',4,414,10,0.004198,0,0
2011,6,Auckland,416,13252,'26,630',$173.41,35.47,'Flat or Apartment',2,416,405,0.030561,1,0
2011,6,Wellington,361,5309,'15,645',$173.41,35.47,'Flat or Apartment',2,421,170,0.032021,1,0
2011,6,Auckland,416,13252,'26,630',$173.41,35.47,House,3,439,15,0.001132,1,0
2011,6,Wellington,361,5309,'15,645',$173.41,35.47,'Flat or Apartment',4,451,14,0.002637,1,0
2011,6,Auckland,416,13252,'26,630',$173.41,35.47,'Flat or Apartment',4,504,25,0.001887,1,0
2011,6,Auckland,416,13252,'26,630',$173.41,35.47,House,4,534,12,0.000906,1,0
2011,6,Wellington,361,5309,'15,645',$173.41,35.47,'Flat or Apartment',3,556,40,0.007534,1,0
2011,6,Otago,300,2382,'16,240',$173.41,35.47,'Flat or Apartment',5,562,19,0.007976,0,0
2011,6,Auckland,416,13252,'26,630',$173.41,35.47,'Flat or Apartment',3,564,34,0.002566,1,0
2011,6,Otago,300,2382,'16,240',$173.41,35.47,House,5,609,14,0.005877,0,0
2011,6,Auckland,416,13252,'26,630',$173.41,35.47,House,5,633,6,0.000453,1,0
2011,6,Auckland,416,13252,'26,630',$173.41,35.47,'Flat or Apartment',5,682,6,0.000453,1,0
2011,9,Wellington,383,6893,'15,645',$173.41,35.47,'Room or Boarding House',1,145,77,0.011171,1,1
2011,9,Auckland,405,14658,'26,630',$173.41,35.47,'Room or Boarding House',1,170,77,0.005253,1,1
2011,9,Wellington,383,6893,'15,645',$173.41,35.47,House,1,202,37,0.005368,1,1
2011,9,Otago,300,3126,'16,240',$173.41,35.47,House,1,235,39,0.012476,0,1
2011,9,Otago,300,3126,'16,240',$173.41,35.47,'Room or Boarding House',1,265,96,0.03071,0,1
2011,9,Otago,300,3126,'16,240',$173.41,35.47,'Flat or Apartment',1,282,5,0.001599,0,0
2011,9,Wellington,383,6893,'15,645',$173.41,35.47,House,4,283,11,0.001596,1,0
2011,9,Wellington,383,6893,'15,645',$173.41,35.47,'Flat or Apartment',1,287,258,0.037429,1,1
2011,9,Otago,300,3126,'16,240',$173.41,35.47,'Flat or Apartment',2,293,8,0.002559,0,1
2011,9,Auckland,405,14658,'26,630',$173.41,35.47,House,1,317,5,0.000341,1,0
2011,9,Wellington,383,6893,'15,645',$173.41,35.47,House,3,329,18,0.002611,1,0
2011,9,Auckland,405,14658,'26,630',$173.41,35.47,'Flat or Apartment',1,344,655,0.044685,1,1
2011,9,Otago,300,3126,'16,240',$173.41,35.47,'Flat or Apartment',3,349,9,0.002879,0,0
2011,9,Wellington,383,6893,'15,645',$173.41,35.47,'Flat or Apartment',4,351,10,0.001451,1,0
2011,9,Wellington,383,6893,'15,645',$173.41,35.47,House,5,361,14,0.002031,1,0
2011,9,Otago,300,3126,'16,240',$173.41,35.47,House,2,363,11,0.003519,0,0
2011,9,Wellington,383,6893,'15,645',$173.41,35.47,'Flat or Apartment',3,386,26,0.003772,1,0
2011,9,Otago,300,3126,'16,240',$173.41,35.47,House,3,395,10,0.003199,0,0
2011,9,Wellington,383,6893,'15,645',$173.41,35.47,'Flat or Apartment',2,418,170,0.024663,1,0
2011,9,Auckland,405,14658,'26,630',$173.41,35.47,'Flat or Apartment',2,422,445,0.030359,1,0
2011,9,Auckland,405,14658,'26,630',$173.41,35.47,House,2,438,9,0.000614,1,0
2011,9,Auckland,405,14658,'26,630',$173.41,35.47,House,3,439,18,0.001228,1,0
2011,9,Otago,300,3126,'16,240',$173.41,35.47,House,4,445,13,0.004159,0,0
